"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";
"BNC";"RCA";"RCA";"RCA";"";"";"";"";"";"";"";"";"";
"C1";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C2";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C3";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C4";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C5";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C6";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C7";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C8";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C9";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C10";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C11";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C12";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C13";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C14";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C15";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C16";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C17";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C18";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C19";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C20";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C21";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C22";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C23";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C24";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C25";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C26";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C27";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C28";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C29";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C30";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C31";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C32";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C33";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C34";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C35";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C36";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C37";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C38";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C39";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C40";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C41";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C42";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C43";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C44";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C45";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C46";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C47";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C48";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C49";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C50";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C51";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C52";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C53";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C54";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C55";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C56";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C57";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C58";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C59";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C60";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C61";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C62";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C63";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C64";"";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C65";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C66";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C67";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C68";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C69";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C70";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C85";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C86";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C87";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C88";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C89";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C90";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C91";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C92";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C93";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C94";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C95";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C96";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C97";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C99";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C100";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C102";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C103";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C104";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C105";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C106";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C107";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C108";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C109";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C112";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C113";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C114";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C115";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C116";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C117";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C118";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C119";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C120";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C121";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C122";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C123";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C124";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C125";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C126";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C127";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C128";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C129";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C130";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C131";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C132";"";"CPOL-EUSP-CAP-CX";"SP-CAP-CX";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C133";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C134";"";"C-EUC1210";"C1210";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"C135";"";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"COAX";"RCA";"RCA";"RCA";"";"";"";"";"";"";"";"";"";
"D1";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"DIODE";"";"";"";"";"";"";"";"";
"D2";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"DIODE";"";"";"";"";"";"";"";"";
"D3";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"DIODE";"";"";"";"";"";"";"";"";
"D4";"1N4148DO35-7";"1N4148DO35-7";"DO35-7";"DIODE";"";"";"";"";"";"";"";"";
"DSDL+";"R2R";"R2R";"R2R";"";"";"";"";"";"";"";"";"";
"DSDL-";"R2R";"R2R";"R2R";"";"";"";"";"";"";"";"";"";
"DSDR+";"R2R";"R2R";"R2R";"";"";"";"";"";"";"";"";"";
"DSDR-";"R2R";"R2R";"R2R";"";"";"";"";"";"";"";"";"";
"IC1";"ISO7240";"ISO7240";"SO-16DW";"HIGH SPEED QUAD DIGITAL ISOLATORS";"";"ISO7240MDW";"1755124";"58M0385";"";"";"";"";
"IC2";"ISO7240";"ISO7240";"SO-16DW";"HIGH SPEED QUAD DIGITAL ISOLATORS";"";"ISO7240MDW";"1755124";"58M0385";"";"";"";"";
"IC3";"ISO7240";"ISO7240";"SO-16DW";"HIGH SPEED QUAD DIGITAL ISOLATORS";"";"ISO7240MDW";"1755124";"58M0385";"";"";"";"";
"IC9";"ISO7220A";"ISO7220A";"SO-08";"DUAL DIGITAL ISOLATORS";"";"ISO7220AD";"1390649";"48M0666";"";"";"";"";
"IC10";"ISO7220A";"ISO7220A";"SO-08";"DUAL DIGITAL ISOLATORS";"";"ISO7220AD";"1390649";"48M0666";"";"";"";"";
"IC11";"ISO7220A";"ISO7220A";"SO-08";"DUAL DIGITAL ISOLATORS";"";"ISO7220AD";"1390649";"48M0666";"";"";"";"";
"IC12";"ISO7220A";"ISO7220A";"SO-08";"DUAL DIGITAL ISOLATORS";"";"ISO7220AD";"1390649";"48M0666";"";"";"";"";
"IC13";"ISO7220A";"ISO7220A";"SO-08";"DUAL DIGITAL ISOLATORS";"";"ISO7220AD";"1390649";"48M0666";"";"";"";"";
"JP1";"RJ45";"RJ45-8PTH";"RJ45-8";"RJ45 Jack";"";"";"";"";"";"CONN-08506";"";"RJ45";
"JP2";"";"M05X2SHD";"2X5-SHROUDED";"Header 5x2";"";"";"";"";"";"";"";"";
"JP3";"";"M03JST-PTH-VERT";"JST-3-PTH-VERT";"Header 3";"";"";"";"";"";"";"";"";
"JP4";"";"M05PTH_LONGPADS";"1X05_LONGPADS";"Header 5";"";"";"";"";"";"";"";"";
"K1";"G5V-2";"G5V-2";"G5V-2";"OMRON PCB Relay";"";"G5V-2 5DC";"9949488";"78K5703";"";"";"";"";
"K2";"G5V-2";"G5V-2";"G5V-2";"OMRON PCB Relay";"";"G5V-2 5DC";"9949488";"78K5703";"";"";"";"";
"K3";"G5V-2";"G5V-2";"G5V-2";"OMRON PCB Relay";"";"G5V-2 5DC";"9949488";"78K5703";"";"";"";"";
"K4";"G5V-2";"G5V-2";"G5V-2";"OMRON PCB Relay";"";"G5V-2 5DC";"9949488";"78K5703";"";"";"";"";
"L+";"R2R";"R2R";"R2R";"";"";"";"";"";"";"";"";"";
"L-";"R2R";"R2R";"R2R";"";"";"";"";"";"";"";"";"";
"PCB1";"ARDUINO_NANO";"ARDUINO_NANO";"ARDUINO_NANO";"Device for representing an Arduino Nano board with a footprint in an EAGLE design. Created by Dave Young for Element14. More EAGLE documentation at: http://www.element14.com/community/community/knode/cadsoft_eagle";"";"";"";"";"";"";"";"";
"Q1";"BC550C";"BC550C";"TO92-EBC";"NPN Transistor";"";"";"";"";"";"";"";"";
"Q2";"BC550C";"BC550C";"TO92-EBC";"NPN Transistor";"";"";"";"";"";"";"";"";
"Q3";"BC550C";"BC550C";"TO92-EBC";"NPN Transistor";"";"";"";"";"";"";"";"";
"Q4";"BC550C";"BC550C";"TO92-EBC";"NPN Transistor";"";"";"";"";"";"";"";"";
"QG1";"";"XO-14";"DIL14S";"CRYSTAL";"";"";"unknown";"unknown";"";"";"";"";
"QG2";"";"XO-14";"DIL14S";"CRYSTAL";"";"";"unknown";"unknown";"";"";"";"";
"R+";"R2R";"R2R";"R2R";"";"";"";"";"";"";"";"";"";
"R-";"R2R";"R2R";"R2R";"";"";"";"";"";"";"";"";"";
"R1";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R2";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R3";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R4";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R5";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R6";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R7";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R8";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R9";"";"R-TRIMM3296W";"RTRIM3296W";"Trimm resistor";"";"";"";"";"";"";"";"";
"R10";"";"R-TRIMM3296W";"RTRIM3296W";"Trimm resistor";"";"";"";"";"";"";"";"";
"R11";"";"R-TRIMM3296W";"RTRIM3296W";"Trimm resistor";"";"";"";"";"";"";"";"";
"R12";"";"R-TRIMM3296W";"RTRIM3296W";"Trimm resistor";"";"";"";"";"";"";"";"";
"R13";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R14";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R15";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R16";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R17";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R18";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R19";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R20";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R21";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R22";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R23";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"R24";"";"R-EU_MELF0204W";"MINI_MELF-0204W";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
